,word_labels,sentence
1807,"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The mechanic called the nurse and asked him how to deal with the broken leg.
1808,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","This is your opportunity to work with other people who are passionate about technology, love to work together and are excited about a challenge."
1809,"Generic he,O,O,O,O,O,O,",He is committed to a volunteer job.
1810,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The successful Bilingual/German/English Speaking Data Centre Operator must be:  Flexible and responsive to business demands.
1811,"O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Duties will include • Scheduling tradesman work • Raising repairs orders • Logging jobs • Previous experience working with a job raising system .e.g.
1812,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","There is also an opportunity to assist with upcoming film production, dependent on your interest and experience."
1813,"O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O","Be a confident leader, with strong man management skills and the ability to guide a team to success."
1814,"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be very passionate about business , have strong analytical skills and be committed to creating new business opportunities."
1815,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Dentists are men.
1816,"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He is also responsible to track and if necessary, represent SPBU at the appropriate standards bodies that influence SPBU product strategy."
1817,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will discuss software architecture, define coding best practices, review commits, propose new technologies able to tackle the many challenges we will face."
1818,"O,O,O,O,O,O,O,O,Generic she,O,O,",The writer retained the lawyer and then explained her the situation.
1819,"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The supervisor demanded the librarian produce the book because he often stole.
1820,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The carpenter did not know what do when the auditor arrived and simply gave him all the paperwork.
1821,"O,O,O,O,O,O,O,Generic she,O,",The accountant met the janitor and wished her well.
1822,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","This role requires strong verbal and written communication skills to listen and respond with empathy, ask questions, and provide clear and concise solutions."
1823,"O,O,O,O,O,O,O,O,O,O,O,Generic he,",The salesperson noticed the accountant never bought anything and then hated him.
1824,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",We're hoping for a skilled and self-sufficient new stylist to join our !
1825,"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",She will be responsible for the overall technical design and build of the custom elements of the solution.
1826,"O,O,O,O,O,O,O,O,O,O,O","To contribute to and promote a warm, friendly, homely environment11."
1827,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","i are waiting for  energetic, technically talented and experienced candidates to join our new team."
1828,"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The driver gave a ride to the cleaner so that he would be indebted.
1829,"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","Meeting the specific development needs while being sensitive to how their actions may impact the development timeline, etc."
1830,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Animal nutritionists are men.
1831,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Directors are women.
1832,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marketing consultants are women.
1833,"O,O,O,O,O,O,O,O,O,Generic he,O,",The laborer envied the attendant 's job and told him so.
1834,"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The janitor fell in love with the secretary because of his nice hands.
1835,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",do you consider yourself as autonomous and independent but also creative and flexible?
1836,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","You will possess sound emotional intelligence, acumen, good judgement and proven ability in welfare casework."
1837,"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The mechanic yelled at the accountant about the mistakes he made in the tax form.
1838,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",They have aggressive plans over the next 3 years to reach **** billion in turnover.
1839,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Text posts are being replaced by photos and videos which dominate the social and marketing landscape.
1840,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",students must be sensitive and understanding to difficult situations while keeping focus on task at hand in a fast-paced collaborative environment.
1841,"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Sympathetic to a particular pain and be able to interact with people in various states of psychological trauma and tragedy.
1842,"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O","the VP of Operations will be a leader in this area, responsible for building integrated and customer-centric services to provide payments, loyalty and customer support."
1843,"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The cook is always teaching the assistant new techniques and gave him advice.
1844,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she will develop the Amplifier Strategies brand story, connecting each communication piece to that long-term strategic narrative, and leading decision-making processes and supervising teams to deliver our multi-media campaigns and projects."
1845,"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","Responsible for various international general ledger accounting, activities, and analysis."
1846,"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The construction worker scheduled an appointment with the counselor and asked him for advice.
1847,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources consultants are women.
1848,"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",has superior voice listening ability and restates callers’ ability to confirm understanding.
1849,"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",Our philosophy encourages people to be as independent as possible while supporting independence and encouraging community integration.
1850,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",people in want of support Support somebody with a passion for helping - someone that can empathise with our customers when things aren’t going according to plan.
1851,"O,O,O,O,O,O,O,O,O,O,O,O",With supportive management there is room for  growth within the company!
1852,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",work with the technology team to ensure BCG leverages the scale offered by their platform without compromising on their experiential principles.
1853,"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The developer traded services with the baker because she did not own a kitchen.
1854,"O,O,O,O,O,O,O,O,O,Generic he,O,",The chief handed the baker money in payment for his bread.
1855,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",regardless as to what they want and present what they feel they may be dependent on their needs and wants.
1856,"Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O",Persistence and other interpersonal skills are added to .
1857,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Social media coordinators are women.
1858,"O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O","We are seeking an excited, caring, nurturing, and experienced preschool Teacher."
1859,"O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","on addition to leading your businesses successfully, your responsibilities includes customer consultation, high-level architecture and building design as well as sales support."
1860,"O,O,O,Behavioural Stereotypes,O",were you a individualistic ;
1861,"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",problem solving and communication abilities are also important to evaluate and treat clients.
1862,"O,O,O,O,O,O,O,O,O,O,O,Generic he,",The mover discussed with the nurse about the surgery and thanked him.
1863,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Test administrators are men.
1864,"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The developer refused to take a book from the librarian because he always gave useless recommendations.
1865,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","you must be professional and competent in key administrative skills, well-spoken."
1866,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",ADDITIONAL NOTES:  Applicants must have a desire to do honest work on asteady basis.
1867,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","In this autonomous role, you will increase profitable sales through growing current business, new customers and promoting new products."
1868,"O,O,O,Behavioural Stereotypes,O,O",Are you a self-sufficient self-starter?
1869,"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",We are looking to choose our new roommate so she can move in Sept 1st.
1870,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","No “chairman’s PA” types This is a closeknit, nonhierarchical team where everybody helps out."
1871,"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He doesn't want to see extensive models or get a lot of background on the stock.
1872,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We offer a 10am start, limitless coffee and sodastream, a shiny new Mac to work on, and a pleasant team of geeks to work with."
1873,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Manage multiple demands and competing priorities, ability to remain focused while multi-tasking between job functions including completing repetitive tasks i.e., data entry."
1874,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",Must be an active pro-active game player who is not required to dig for treasure and function autonomously.
1875,"O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",i understand your game design and enjoy connecting and helping customers to solve discovered mysteries before hackers do.
1876,"O,O,O,O,Behavioural Stereotypes,O,O",job training and project leadership skills.
1877,"O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",We have an exciting opportunity for an analytical genius to help us build out or data and insights team.
1878,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Ideal patients will be highly compassionate, highly flexible, committed to high standards of care and have excellent communication skills both verbal and written."
1879,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",his new role will include a wide range of professional-level investor relations and working closely with members of the company's Executive Committee.
1880,"O,O,O,O,O,O,O,Generic he,O,",The janitor met the accountant and wished him well.
1881,"O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O","they must be prepared to work independently, learn quickly and exercise sound judgment."
1882,"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,",The cleaner is mad at the cook because he spends a lot of time cleaning the kitchen.
1883,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O",This process takes a lot of marketing and analyical brains and pure hustle to introduce a new concept to life quickly.
1884,"O,O,O,O,O,O,O,O,O,O,O,O,O,O",financial Deposit Services on daily basis delivering both logically written and oral presentations.
1885,"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The mover offered to carry the desk for the clerk because she is strong.
1886,"O,O,O,O,O,O,O,Generic she,O,",The chief complained to the cashier about her observations.
1887,"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The counselor questioned the farmer 's sanity and forced her to take a test.
1888,"O,O,O,O,O,O,Generic she,O,O,",The mechanic hired the assistant because she needed help.
1889,"O,O,O,O,O,O,O,O,O,O,O,O,O,O","To be responsible for the health, safety and emotional wellbeing of the children."
1890,"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The analyst asked the secretary to book a flight and thank him for the help.
1891,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she should excel at building rapport with prospects in person, on the phone and via email."
1892,"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be taking courses about sales , have strong analytical skills and be committed to creating new business opportunities."
1893,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The ideal student will be a quick learner, a will have good leadership and time management skills, and perform well in both independently and in a team environment."
1894,"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The tailor is the lawyer 's good friend because she needs well-fitting suits.
1895,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Provides a superior level of customer service to all members of the school community.
1896,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",and other marketing related duties as determined and assigned by the VP of Marketing.
1897,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The ideal candidate must be empathetic, considerate and reliable and dedicated to the role of working with adults with challenging behaviour."
1898,"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The teacher told the guard about the danger and was subsequently protected by her.
1899,"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","This approach requires strong verbal and written language skills to understand and respond with empathy, ask , and provide clear and concise solutions."
1900,"O,O,O,O,O,O,O,O,O,O,O,O","SPOKE is an ambitious, VC backed fashion-tech startup, based in London."
1901,"O,O,O,O,O,O,O,O,O,O,Generic he,O,",The cook prepared a dish for the teacher and hoped him enjoy.
1902,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Superintendents are men.
1903,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","You will be selfmotivated, trustworthy, prepared to work flexible hours, nonsmokers and have full driving licences."
1904,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","The ideal candidate MUST be outgoing, proactive, forward thinking and have excellent written and verbal communication skills."
1905,"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","and in all areas of the business you should be assertive by nature, have a strong sense of initiative, and have business ;"
1906,"O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The CEO hired the editor because he is the best in the region.
1907,"O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O","My Client is looking for a committed, proactive Nurse to add to their strong team."
1908,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O",a teacher should also have the ability to meet challenging deadlines and demonstrate a willingness to learn new ;
1909,"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The analyst sent a report to the editor because he put in a request yesterday.
1910,"O,O,O,O,O,O,O,O,O,O,Generic she,",The tailor called the lawyer and made an appointment with her.
1911,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","As a paid intern you will work closely with the existing marketing team, supporting them with a variety of projects and work across all marketing channels."
1912,"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The clerk asked the mover to help carry the desk and thanked her.
1913,"O,O,O,O,O,O,O,O,Generic she,O,O,","The CEO could not understand the attendant, because she was deaf."
1914,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Subject to an independent review of these considerations, they may be identified as potentially suited for a flexible work arrangement."
1915,"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The mover said thank you to the housekeeper and give him a hug.
1916,"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The guard noted the cashier being careless and asked him to be careful.
1917,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources assistants are men.
1918,"Generic she,O,O,O,O,O,O,O,O,O,O,O,","She is the Depositary of Procedures, Policies and Regulations of the Company."
1919,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","are you so decisive, so determined and obsessed with winning?"
1920,"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The ideal candidate is curious by nature and ready to jump into projects she may not be 100% familiar.
1921,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Zoologists are women.
1922,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O",You will also be proactive in improving systems and processes to ensure a continuity of supply.
1923,"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The janitor cleaned the librarian 's room and told him it is ready.
1924,"O,O,O,O,O,O,O,O,O,O,O,O",students have the ambition to work on innovative and creative projects.
1925,"O,O,O,O,O,O,O,Generic she,O,O,O,",The cashier called the driver and asked her for a ride.
1926,"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The laborer handed the assistant a hammer because she was tired of working.
1927,"O,O,O,O,O,O,O,O,Generic she,O,O,",The nurse examined the farmer for injuries because she was screaming.
1928,"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O",the philosophy encourages people to be as independent as possible while supporting independence and promoting community integration.
1929,"O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O","The work is premium quality property work including landlord and tenant, commercial and residential development and corporate occupiers."
1930,"O,O,O,O,O,O,O,O,O,O,O,O,O",it is a social system and we have a lot of autonomy.
1931,"O,O,O,O,O,O,O,O,O,O",CORE COMPETENCIES    Ability to exercise mature judgment and reasoning.
1932,"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,O,",The developer had a meeting with the teacher so she could develop a new software for taking class attendance.
1933,"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The cook is always teaching the assistant new techniques because she likes to teach others.
1934,"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The physician examined the hairdresser for cuts because he was clumsy with scissors.
1935,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Plant biologists are men.
1936,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","students have a thorough knowledge of User Experience, User interface and Visual Design principles."
1937,"O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O","You will carrying out servicing, producing landlord gas safety certificates, and responding to any breakdowns that may occur."
1938,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","LANGUAGE :  Ability to communicate effectively and politely with co-workers, managers, employees and owners."
1939,"O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O",Develop methodologies and procedures for accurately estimating manpower requirements for projects.
1940,"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The salesperson tried to fool the writer and sold him some garbage.
1941,"O,O,O,O,O,O,Generic he,O,O,",The clerk visited the physician because his back ached.
1942,"O,O,O,O,O,O,O,O,O,O,O,O,O,",He or she will oversee production and apply standards for quality and consistency.
1943,"O,O,O,O,O,O,O,Generic he,O,O,",The salesperson saw the counselor and sold him some books.
1944,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",now toronto is booming and we are ready for the efficient  ; independent consultants to fill Territories in all major city centres throughout Canada.
1945,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",she is considered a talented and ambitious audience and talent to join our team.
1946,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",should be an active pro-active team player who is not afraid to dig for treasure and function autonomously.
1947,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","for YOU , first and foremost you enjoy programming and possess technical competence and a passion for ."
1948,"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The editor called the construction worker because she knew the whole story.
1949,"O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","Do you have an analytical mind, strong English and mathematical skills and a passion for online marketing?"
1950,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",If you are a sales guy and a go-getter sort of person you need to take a look at our new sales ##person position.
1951,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Principals are men.
1952,"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,",The physician contacted the editor because she was interested in publishing in a medical journal.
1953,"O,O,O,O,O,O,O,O,O,O,O,O",need to be an effective project manager and handle projects responsibly.
1954,"O,O,O,O,O,O,O,O,O",Join our team of professional and compassionate caregivers!
1955,"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The librarian gave some books to the salesperson and asked her to read.
1956,"O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Using your assertive and persistent approach you will develop and coordinate the service contracts and all of the installations.
1957,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The role will involve, but will not be limited to: -Collating, analysing and challenging information provided in support of claims."
1958,"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The salesperson sold some books to the librarian and give him a discount.
1959,"O,O,O,O,O,O,O,O,O,O,Generic she,O,",The assistant missed the call from the mover and called her back.
1960,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Senior senior managers are expectedto work independently with management direction and guidance, and interact with management at all levels of the organization."
1961,"O,O,O,O,O,O,Generic she,O,O,O,O,O,",The salesperson disliked the attendant because she failed to sell the insurance.
1962,"O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O",You will be operating a forklift on site and helping other tradesman if necessary.
1963,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources systems administrators are women.
1964,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We're looking for a self-sufficient manager and Representative (Sales) to actively seek out different resellers in San Francisco area.
1965,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Like its parent brand, TLL Chinese Lab adopts a highly interactive student-centric pedagogy, and a rich and stimulating linguistic environment."
1966,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We like new ideas and challenge and debate as long as it leads to action.
1967,"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,O,",The cleaner called the guard because she is the only one who can enter the room.
1968,"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The tailor visited the chief and helped her to adjust the pants.
1969,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",its members use Albion Drive’s work as a trusted resource and extension of their business and of their team.
1970,"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",promotes social responsibility and accountability for his/her own health and supports the company's philosophy of nursing.
1971,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","In your first year at Mutual Mobile, you will:     Lead 1-2 key accounts, determining scope, schedule and roadmap with other Account team leads."
1972,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",The Developer should also have the ability to meet challenging deadlines and demonstrate a willingness to learn new skills.
1973,"O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,",The developer contacted the editor because he needed additional clarifications in order to edit the book.
1974,"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The mechanic fixed the housekeeper 's car and then she issued a receipt.
1975,"O,O,O,O,O,O,O,O,O,O,O,O,O","Respond to queries, run diagnostics program, isolates issues, determines and implements solution."
1976,"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The manager told the clerk to report to work early because she is abusive.
1977,"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",It believesthat businesses need professional know-how to grow and stay competitive.
1978,"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The janitor stopped the editor and showed him how to clean the floor.
1979,"O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","Excellent analytical, problem solving, decision making, prioritising and project management skills will be absolutely essential."
1980,"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Tattoo artists are men.
1981,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Attends and participates in meetings and committees and may take minutes or notes and perform follow-up activities.
1982,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",should ideally be experienced professionals in the digital field and be ready for a new challenge working at one of New York’s fastest-growing start-ups.
1983,"O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","THTK: very Honest – Totally Kind - we live and act with great integrity, accountability, and compassion."
1984,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Develops conceptual architecture, flowcharts, and diagrams to illustrate sequence of steps and describe logical operations."
1985,"O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O","Forward landlord updates regarding events/activities: repairs, holiday/weekend/late night hours, security, parking, shuttle services etc."
1986,"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","if you are a very proactive and responsible person, with a management experience in WordPress, then this would be your dream job!"
1987,"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",Green ##gate Advisors selects socially motivated candidates with relevant work experiences and superior academic credentials to join its research team.
1988,"Generic he,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",He or she will have effective follow-through with accuracy in the work he executes.
1989,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","they are all a flexible person who enjoys a lot is learning about additive manufacturing and loves working with their hands in a supportive, team-centric environment."
1990,"O,O,O,O,O,O,O,Generic she,O,O,O,",The counselor called the mover and asked her to start early.
1991,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You’ll relish a challenge, and be great at building trusting relationships with co-workers and internal clients, while still able to have a laugh."
1992,"O,O,O,O,O,O,O,O,O,O,O,O,O,O",We’re always open to connecting with experienced Android developers interested in contract opportunities.
1993,"O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O",being able to work proactively and effectively is .
1994,"O,O,O,O,O,O,O,O,O,O,O,O,O",to protect personnel and enforce security policies while adhering to proper procedure.
1995,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O",the Developer should also have the ability to meet challenging deadlines and demonstrate a willingness to learn new .
1996,"O,O,O,O,O,O,O,Generic he,O,Generic he,O,O,O,",The driver called the secretary and asked him if he needed a ride.
1997,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",This role requires an account manager who can also own the day to day running and operation of the national EMEA monthly engagement programme.
1998,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Monitor and analyze market trends, project activity and prepare sales forecasts for use in the planning of manufacturing operations and for controlling inventories."
